episode,scenario,steps,decisions,avg_reward,avg_queue,throughput
374,normal,3614,112,-0.049,0.379,865
375,low_traffic,3641,103,-0.068,0.394,959
376,low_traffic,3600,105,-0.415,0.431,921
377,normal,3626,103,-0.215,0.398,853
378,normal,3609,95,-0.064,0.347,1002
379,low_traffic,3651,102,-0.28,0.397,840
380,low_traffic,3623,99,-0.432,0.412,900
381,normal,3617,96,-0.166,0.403,959
382,low_traffic,3628,103,-0.141,0.32,858
383,normal,3629,107,-0.441,0.35,877
384,low_traffic,3634,108,-0.329,0.357,883
385,low_traffic,3652,107,-0.343,0.351,842
386,peak_hour,3611,109,-0.339,0.384,881
387,low_traffic,3648,102,-0.493,0.46,874
388,normal,3641,93,0.077,0.378,803
389,peak_hour,3601,102,-0.22,0.364,883
390,low_traffic,3627,104,-0.117,0.37,856
391,peak_hour,3645,93,0.153,0.358,905
392,low_traffic,3603,99,-0.166,0.379,868
393,peak_hour,3664,98,0.339,0.354,1009
394,normal,3604,92,0.139,0.384,894
395,normal,3620,87,0.22,0.398,889
396,normal,3624,106,-0.493,0.352,799
397,low_traffic,3612,113,-0.274,0.362,918
398,normal,3619,89,0.295,0.398,895
399,low_traffic,3645,97,0.247,0.355,955
400,low_traffic,3630,114,-0.387,0.357,912
401,normal,3623,106,0.045,0.311,1001
402,low_traffic,3601,118,-0.455,0.331,814
403,peak_hour,3602,105,-0.261,0.344,889
404,peak_hour,3663,106,0.128,0.303,935
405,normal,3600,107,-0.306,0.345,1001
406,low_traffic,3636,109,-0.162,0.331,902
407,low_traffic,3649,104,-0.18,0.359,890
408,normal,3637,103,0.079,0.359,989
409,low_traffic,3627,112,-0.177,0.377,944
410,low_traffic,3651,100,-0.098,0.358,978
411,peak_hour,3606,103,-0.124,0.372,915
412,low_traffic,3605,111,-0.406,0.341,892
413,low_traffic,3658,99,-0.235,0.384,920
414,normal,3616,103,-0.197,0.36,994
415,low_traffic,3603,104,-0.145,0.367,982
416,peak_hour,3616,101,-0.04,0.384,884
417,normal,3608,96,0.083,0.343,959
418,low_traffic,3628,107,-0.421,0.354,925
419,low_traffic,3631,112,-0.45,0.336,908
420,normal,3617,105,-0.016,0.322,878
421,low_traffic,3667,111,-0.356,0.369,857
422,peak_hour,3603,100,-0.064,0.335,883
423,low_traffic,3645,101,-0.08,0.35,918
424,low_traffic,3642,107,-0.34,0.378,898
425,low_traffic,3649,101,-0.185,0.39,933
426,low_traffic,3657,115,-0.556,0.347,888
427,peak_hour,3601,109,-0.258,0.338,879
428,low_traffic,3628,99,-0.459,0.435,927
429,low_traffic,3647,106,-0.213,0.376,886
430,low_traffic,3605,112,-0.429,0.381,819
431,low_traffic,3618,108,-0.037,0.323,848
432,low_traffic,3614,98,0.008,0.34,833
433,normal,3612,103,-0.103,0.384,916
434,low_traffic,3648,118,-0.483,0.356,950
435,low_traffic,3610,108,-0.362,0.331,844
436,peak_hour,3612,103,-0.105,0.318,902
437,normal,3621,113,-0.125,0.329,875
438,low_traffic,3671,96,-0.299,0.392,945
439,low_traffic,3600,103,-0.05,0.363,870
440,normal,3638,100,-0.191,0.346,902
441,low_traffic,3618,112,-0.506,0.318,940
442,normal,3663,102,0.048,0.369,907
443,peak_hour,3611,104,-0.026,0.334,899
444,peak_hour,3645,109,-0.599,0.369,778
445,normal,3611,116,-0.722,0.41,862
446,low_traffic,3600,95,0.065,0.312,975
447,low_traffic,3602,108,-0.309,0.4,839
448,low_traffic,3615,104,-0.138,0.341,921
449,peak_hour,3654,110,-0.239,0.313,866
450,peak_hour,3623,106,-0.242,0.352,822
451,normal,3664,96,0.119,0.367,948
452,normal,3655,101,-0.199,0.382,918
453,low_traffic,3619,102,-0.089,0.36,960
454,low_traffic,3613,110,-0.012,0.362,906
455,low_traffic,3645,105,-0.177,0.333,932
456,low_traffic,3612,117,-0.296,0.338,960
457,normal,3604,101,-0.023,0.369,983
458,normal,3638,92,0.053,0.388,908
459,low_traffic,3602,102,-0.034,0.336,934
460,normal,3611,114,-0.071,0.364,950
461,normal,3625,102,-0.188,0.376,929
462,normal,3625,108,-0.225,0.37,965
463,low_traffic,3615,104,-0.353,0.345,946
464,peak_hour,3646,108,-0.295,0.322,1012
465,peak_hour,3624,92,0.296,0.353,963
466,low_traffic,3607,108,-0.094,0.336,977
467,peak_hour,3643,108,-0.403,0.371,915
468,low_traffic,3635,101,-0.205,0.341,898
469,peak_hour,3630,106,-0.237,0.368,917
470,normal,3611,106,0.052,0.33,981
471,normal,3635,114,-0.198,0.339,855
472,normal,3642,110,-0.155,0.358,906
473,low_traffic,3602,103,-0.313,0.337,886
474,low_traffic,3618,103,-0.29,0.352,940
475,normal,3639,101,-0.047,0.382,913
476,normal,3639,97,-0.01,0.35,911
477,low_traffic,3631,104,-0.217,0.336,946
478,peak_hour,3604,106,-0.303,0.379,862
479,peak_hour,3617,108,-0.214,0.345,911
480,low_traffic,3628,129,-0.652,0.32,900
