step,chosen_phase,time_pct,actual_seconds,north_count,north_wait_norm,north_ev,south_count,south_wait_norm,south_ev,cityhall_count,cityhall_wait_norm,cityhall_ev,brudger_count,brudger_wait_norm,brudger_ev,estanislao_count,estanislao_wait_norm,estanislao_ev,ped_exists,ped_wait_norm,weather,day_norm,time_of_day
2961,1,0.443,32,1.000,0.037,0.000,0.000,0.000,0.000,1.000,0.520,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.091,-1.000,0.000,0.034
2993,1,0.453,32,1.000,0.115,0.000,0.000,0.000,0.000,1.000,0.598,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.169,-1.000,0.000,0.034
3026,1,0.464,33,1.000,0.194,0.000,0.000,0.000,0.000,1.000,0.676,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.248,-1.000,0.000,0.035
3059,1,0.473,33,1.000,0.275,0.000,0.000,0.000,0.000,1.000,0.757,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.328,-1.000,0.000,0.035
3093,1,0.483,34,1.000,0.355,0.000,0.000,0.000,0.000,1.000,0.838,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.409,-1.000,0.000,0.035
3127,1,0.494,34,1.000,0.439,0.000,0.000,0.000,0.000,1.000,0.922,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.493,-1.000,0.000,0.036
3162,1,0.504,35,1.000,0.522,0.000,0.000,0.000,0.000,1.000,1.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.576,-1.000,0.000,0.036
3197,1,0.514,35,1.000,0.608,0.000,0.000,0.000,0.000,1.000,1.091,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.662,-1.000,0.000,0.036
3233,1,0.524,36,1.000,0.694,0.000,0.000,0.000,0.000,1.000,1.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.748,-1.000,0.000,0.037
3289,4,0.675,43,1.000,0.782,0.000,1.000,0.000,0.000,1.000,1.265,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.836,-1.000,0.000,0.037
3332,5,0.590,30,1.000,0.919,0.000,1.000,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.973,-1.000,0.000,0.038
3378,0,0.462,33,1.000,1.025,0.000,1.000,0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.042,0.000,0.000,0.000,-1.000,0.000,0.038
3405,0,0.353,27,1.000,1.137,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.154,0.000,0.000,0.000,-1.000,0.000,0.039
3433,0,0.367,28,1.000,1.203,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.221,0.000,0.000,0.000,-1.000,0.000,0.039
3462,0,0.380,29,1.000,1.272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.289,0.000,0.000,0.000,-1.000,0.000,0.040
3491,0,0.394,29,1.000,1.343,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.360,0.000,0.000,0.000,-1.000,0.000,0.040
3521,0,0.408,30,1.000,1.414,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.431,0.000,0.000,0.000,-1.000,0.000,0.040
3552,0,0.421,31,1.000,1.488,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.505,0.000,0.000,0.000,-1.000,0.000,0.041
3587,0,0.518,35,2.000,1.564,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.581,0.000,0.000,0.000,-1.000,0.000,0.041
3623,0,0.534,36,2.000,1.650,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.667,0.000,0.000,0.000,-1.000,0.000,0.041
